path,template
/ae_ar/products/learning-manager/customer-education,Essential form
/ae_ar/resources/reports/forrester-wave-digital-asset-management-2024,Essential form
/ae_ar/resources/reports/gartner-mq-digital-experience-platforms-2024,Essential form
/ae_en/products/learning-manager/customer-education,Essential form
/ae_en/resources/reports/building-center-of-excellence-during-a-global-pandemic,Essential form
/ae_en/resources/reports/forrester-wave-digital-asset-management-2024,Essential form
/ae_en/resources/reports/gartner-mq-digital-experience-platforms-2024,Essential form
/africa/products/learning-manager/customer-education,Essential form
/africa/resources/digital-trends-journey-management-report,Essential form
/africa/resources/reports/forrester-wave-digital-asset-management-2024,Essential form
/africa/resources/reports/gartner-mq-digital-experience-platforms-2024,Essential form
/ar/customers/consulting-services/contact-us,Full form
/ar/products/audience-manager/adobe-audience-manager,Full form
/ar/products/campaign/pricing,Full form
/ar/products/experience-manager/assets/pricing,Full form
/ar/products/experience-manager/forms/pricing,Full form
/ar/products/experience-manager/sites/pricing,Full form
/ar/products/learning-manager/customer-education,Essential form
/ar/products/learning-manager/get-demo,Essential form
/ar/products/learning-manager/pricing,Full form
/ar/products/magento/get-demo,Full form
/ar/products/magento/pricing,Full form
/ar/products/marketo/get-demo,Full form
/ar/products/marketo/pricing,Full form
/ar/products/real-time-customer-data-platform/pricing,Full form
/ar/products/target/pricing,Full form
/ar/products/workfront/pricing,Full form
/ar/request-consultation/advertising-cloud,Full form
/ar/request-consultation/experience-cloud,Full form
/ar/resources/guides/definitive-guide-to-creating-a-unified-customer-view,Essential form
/ar/resources/guides/digital-asset-management-done-right,Essential form
/ar/resources/guides/making-work-management-work-well,Essential form
/ar/resources/guides/manage-content-at-the-speed-of-digital-business,Essential form
/ar/resources/guides/personalizacion-impulsada,Essential form
/ar/resources/guides/reimagine-marketing-work-in-3-steps,Essential form
/ar/resources/guides/supercharge-your-content-supply-chain,Essential form
/ar/resources/reports/forrester-wave-digital-asset-management-2024,Essential form
/ar/resources/reports/gartner-mq-digital-experience-platforms-2024,Essential form
/at/products/learning-manager/customer-education,Essential form
/at/resources/digital-trends-journey-management-report,Essential form
/at/resources/reports/digital-trends-2021-in-public-sector,Essential form
/at/resources/reports/forrester-wave-digital-asset-management-2024,Essential form
/at/resources/reports/gartner-mq-digital-experience-platforms-2024,Essential form
/au/products/experience-manager/assets/aem-assets,Full form
/au/products/learning-manager/customer-education,Essential form
/au/resources/articles/agile-marketing-for-creative-teams,Essential form
/au/resources/articles/how-to-analyze-and-perfect-email-marketing-metrics-4-examples-of-successful-campaigns,Essential form
/au/resources/articles/measuring-and-perfecting-your-cross-channel-strategy,Essential form
/au/resources/business-value-adobe-commerce-platform,Essential form
/au/resources/ebooks/10-tips-for-successful-email-marketing-campaigns,Essential form
/au/resources/ebooks/adobe-commerce-is-perfect-for-b2b-sellers-for-10-reasons,Essential form
/au/resources/ebooks/ten-strategies-for-creating-personalized-high-converting-commerce-experiences-with-adobe-and-aws,Essential form
/au/resources/ecommerce-erp-better-together,Essential form
/au/resources/guides/collaborating-with-it,Essential form
/au/resources/guides/soar-to-new-heights-with-generative-ai,Essential form
/au/resources/guides/work-management-marketers-asset-management,Essential form
/au/resources/improve-your-customer-journey-best-ways-improve-sales-each-stage,Essential form
/au/resources/infographics/the-roi-of-marketing-automation,Essential form
/au/resources/inspiring-digital-growth-faltering,Essential form
/au/resources/inspiring-digital-growth-flourishing,Essential form
/au/resources/inspiring-digital-growth-functioning,Essential form
/au/resources/reports/4-ways-to-step-up-your-content-creation-game,Essential form
/au/resources/reports/5stagesofdigitalformsmaturityforgovernment,Full form
/au/resources/reports/forrester-wave-b2b-commerce-suites-2020,Essential form
/au/resources/reports/forrester-wave-digital-asset-management-2024,Essential form
/au/resources/reports/gartner-mq-digital-experience-platforms-2024,Essential form
/au/resources/reports/win-with-adobe-commerce-li-tal,Essential form
